year,state,district,crop,season,soil_type,irrigation,seed_variety,area,rainfall,temperature,fertilizer,pesticide,production,yield
2015,Odisha,angul,rice,kharif,alluvial,none,hybrid,1.74,904.0,22.945,2342136.925,4996.15,15482.5,3467.0
2015,Odisha,angul,rice,zaid,alluvial,drip,hybrid,2.4,105.0,22.945,2342136.925,4996.15,15482.5,3838.0
2015,Odisha,angul,maize,kharif,alluvial,tubewell,hybrid,1.39,1358.0,22.945,2342136.925,4996.15,15482.5,5172.0
2015,Odisha,angul,maize,rabi,lateritic,lift,hyv,3.15,51.0,22.945,2342136.925,4996.15,15482.5,4147.0
2015,Odisha,angul,maize,zaid,saline,tubewell,hyv,1.75,245.0,22.945,2342136.925,4996.15,15482.5,3029.0
2015,Odisha,angul,wheat,kharif,alluvial,canal,local,2.21,1152.0,22.945,2342136.925,4996.15,15482.5,3539.0
2015,Odisha,angul,wheat,rabi,red_black,drip,local,3.78,299.0,22.945,2342136.925,4996.15,15482.5,3863.0
2015,Odisha,angul,wheat,zaid,alluvial,lift,hybrid,1.82,276.0,22.945,2342136.925,4996.15,15482.5,4398.0
2015,Odisha,angul,groundnut,kharif,lateritic,canal,hybrid,0.81,1096.0,22.945,2342136.925,4996.15,15482.5,2830.0
2015,Odisha,angul,groundnut,rabi,lateritic,none,local,2.21,263.0,22.945,2342136.925,4996.15,15482.5,1774.0
2015,Odisha,angul,groundnut,zaid,lateritic,canal,hyv,2.1,229.0,22.945,2342136.925,4996.15,15482.5,2610.0
2015,Odisha,angul,mung,kharif,lateritic,none,hybrid,3.78,1188.0,22.945,2342136.925,4996.15,15482.5,899.0
2015,Odisha,angul,mung,rabi,lateritic,canal,hybrid,1.96,64.0,22.945,2342136.925,4996.15,15482.5,1296.0
2015,Odisha,angul,mung,zaid,alluvial,tubewell,hyv,2.31,283.0,22.945,2342136.925,4996.15,15482.5,1056.0
2015,Odisha,angul,cotton,kharif,red_black,drip,local,3.45,1458.0,22.945,2342136.925,4996.15,15482.5,1511.0
2015,Odisha,angul,cotton,rabi,lateritic,lift,hyv,1.13,187.0,22.945,2342136.925,4996.15,15482.5,1629.0
2015,Odisha,angul,sugarcane,kharif,saline,canal,hybrid,2.3,941.0,22.945,2342136.925,4996.15,15482.5,71432.0
2015,Odisha,angul,sugarcane,rabi,saline,drip,local,3.9,89.0,22.945,2342136.925,4996.15,15482.5,74923.0
2015,Odisha,angul,turmeric,kharif,saline,tubewell,hybrid,0.79,1279.0,22.945,2342136.925,4996.15,15482.5,4629.0
2015,Odisha,angul,turmeric,rabi,red_black,drip,hybrid,4.37,234.0,22.945,2342136.925,4996.15,15482.5,5547.0
2015,Odisha,balangir,rice,kharif,red_black,none,hybrid,2.03,961.0,22.945,2342136.925,4996.15,15482.5,3224.0
2015,Odisha,balangir,rice,zaid,lateritic,canal,hybrid,4.61,126.0,22.945,2342136.925,4996.15,15482.5,4166.0
2015,Odisha,balangir,maize,kharif,lateritic,drip,local,2.18,1343.0,22.945,2342136.925,4996.15,15482.5,3504.0
2015,Odisha,balangir,maize,rabi,red_black,none,hyv,0.59,274.0,22.945,2342136.925,4996.15,15482.5,3894.0
2015,Odisha,balangir,maize,zaid,lateritic,canal,local,1.58,70.0,22.945,2342136.925,4996.15,15482.5,3672.0
2015,Odisha,balangir,wheat,kharif,saline,none,local,4.9,928.0,22.945,2342136.925,4996.15,15482.5,2261.0
2015,Odisha,balangir,wheat,rabi,saline,tubewell,hybrid,1.24,205.0,22.945,2342136.925,4996.15,15482.5,3557.0
2015,Odisha,balangir,wheat,zaid,lateritic,lift,hybrid,3.9,232.0,22.945,2342136.925,4996.15,15482.5,4069.0
2015,Odisha,balangir,groundnut,kharif,saline,canal,hybrid,3.42,1329.0,22.945,2342136.925,4996.15,15482.5,2119.0
2015,Odisha,balangir,groundnut,rabi,alluvial,lift,local,1.51,200.0,22.945,2342136.925,4996.15,15482.5,2072.0
2015,Odisha,balangir,groundnut,zaid,lateritic,drip,hybrid,1.49,211.0,22.945,2342136.925,4996.15,15482.5,2548.0
2015,Odisha,balangir,mung,kharif,lateritic,none,local,4.57,872.0,22.945,2342136.925,4996.15,15482.5,886.0
2015,Odisha,balangir,mung,rabi,lateritic,drip,hyv,3.51,83.0,22.945,2342136.925,4996.15,15482.5,1093.0
2015,Odisha,balangir,mung,zaid,saline,drip,local,4.03,98.0,22.945,2342136.925,4996.15,15482.5,908.0
2015,Odisha,balangir,cotton,kharif,alluvial,none,hybrid,2.44,1278.0,22.945,2342136.925,4996.15,15482.5,1612.0
2015,Odisha,balangir,cotton,rabi,alluvial,none,local,2.31,270.0,22.945,2342136.925,4996.15,15482.5,1256.0
2015,Odisha,balangir,sugarcane,kharif,lateritic,none,local,1.36,1232.0,22.945,2342136.925,4996.15,15482.5,63997.0
2015,Odisha,balangir,sugarcane,rabi,red_black,tubewell,hyv,1.62,163.0,22.945,2342136.925,4996.15,15482.5,101090.0
2015,Odisha,balangir,turmeric,kharif,alluvial,drip,local,3.43,815.0,22.945,2342136.925,4996.15,15482.5,5789.0
2015,Odisha,balangir,turmeric,rabi,lateritic,none,local,2.33,271.0,22.945,2342136.925,4996.15,15482.5,3977.0
2015,Odisha,balasore,rice,kharif,alluvial,lift,local,2.21,1071.0,22.945,2342136.925,4996.15,15482.5,3811.0
2015,Odisha,balasore,rice,zaid,red_black,lift,hyv,3.63,250.0,22.945,2342136.925,4996.15,15482.5,3381.0
2015,Odisha,balasore,maize,kharif,saline,drip,local,1.35,859.0,22.945,2342136.925,4996.15,15482.5,2855.0
2015,Odisha,balasore,maize,rabi,alluvial,drip,hybrid,1.91,172.0,22.945,2342136.925,4996.15,15482.5,4638.0
2015,Odisha,balasore,maize,zaid,lateritic,drip,local,4.82,97.0,22.945,2342136.925,4996.15,15482.5,3408.0
2015,Odisha,balasore,wheat,kharif,alluvial,none,hybrid,4.38,1383.0,22.945,2342136.925,4996.15,15482.5,3738.0
2015,Odisha,balasore,wheat,rabi,alluvial,tubewell,hybrid,0.87,194.0,22.945,2342136.925,4996.15,15482.5,5080.0
2015,Odisha,balasore,wheat,zaid,red_black,drip,hyv,1.42,111.0,22.945,2342136.925,4996.15,15482.5,4457.0
2015,Odisha,balasore,groundnut,kharif,saline,canal,local,3.52,1123.0,22.945,2342136.925,4996.15,15482.5,1624.0
2015,Odisha,balasore,groundnut,rabi,alluvial,none,hyv,3.3,75.0,22.945,2342136.925,4996.15,15482.5,2320.0
2015,Odisha,balasore,groundnut,zaid,lateritic,none,hybrid,1.69,275.0,22.945,2342136.925,4996.15,15482.5,2542.0
2015,Odisha,balasore,mung,kharif,lateritic,none,hyv,1.78,1356.0,22.945,2342136.925,4996.15,15482.5,902.0
2015,Odisha,balasore,mung,rabi,alluvial,canal,hybrid,4.18,219.0,22.945,2342136.925,4996.15,15482.5,1240.0
2015,Odisha,balasore,mung,zaid,lateritic,none,hyv,1.02,191.0,22.945,2342136.925,4996.15,15482.5,811.0
2015,Odisha,balasore,cotton,kharif,red_black,tubewell,hyv,3.22,1008.0,22.945,2342136.925,4996.15,15482.5,1764.0
2015,Odisha,balasore,cotton,rabi,saline,canal,hyv,4.57,73.0,22.945,2342136.925,4996.15,15482.5,1462.0
2015,Odisha,balasore,sugarcane,kharif,red_black,lift,local,0.52,1452.0,22.945,2342136.925,4996.15,15482.5,77315.0
